Date,Close/Last,Volume,Open,High,Low,Adjusted Close
09/24/2021,196.68,N/A,196.68,196.68,196.68,196.68
09/23/2021,197.19,N/A,197.19,197.19,197.19,197.19
09/22/2021,195,N/A,195,195,195,195
09/21/2021,192.97,N/A,192.97,192.97,192.97,192.97
09/20/2021,191.99,N/A,191.99,191.99,191.99,191.99
09/17/2021,196.5,N/A,196.5,196.5,196.5,196.5
09/16/2021,197.77,N/A,197.77,197.77,197.77,197.77
09/15/2021,196.72,N/A,196.72,196.72,196.72,196.72
09/14/2021,195.07,N/A,195.07,195.07,195.07,195.07
09/13/2021,195.74,N/A,195.74,195.74,195.74,195.74
09/10/2021,197.37,N/A,197.37,197.37,197.37,197.37
09/09/2021,198.41,N/A,198.41,198.41,198.41,198.41
09/08/2021,198.04,N/A,198.04,198.04,198.04,198.04
09/07/2021,199.78,N/A,199.78,199.78,199.78,199.78
09/03/2021,199.67,N/A,199.67,199.67,199.67,199.67
09/02/2021,198.89,N/A,198.89,198.89,198.89,198.89
09/01/2021,198.97,N/A,198.97,198.97,198.97,198.97
08/31/2021,198.02,N/A,198.02,198.02,198.02,198.02
08/30/2021,199.07,N/A,199.07,199.07,199.07,199.07
08/27/2021,196.94,N/A,196.94,196.94,196.94,196.94
08/26/2021,194.96,N/A,194.96,194.96,194.96,194.96
08/25/2021,196.64,N/A,196.64,196.64,196.64,196.64
08/24/2021,196.24,N/A,196.24,196.24,196.24,196.24
08/23/2021,194.95,N/A,194.95,194.95,194.95,194.95
08/20/2021,191.61,N/A,191.61,191.61,191.61,191.61
08/19/2021,189.48,N/A,189.48,189.48,189.48,189.48
08/18/2021,189.86,N/A,189.86,189.86,189.86,189.86
08/17/2021,191.43,N/A,191.43,191.43,191.43,191.43
08/16/2021,192.88,N/A,192.88,192.88,192.88,192.88
08/13/2021,194.18,N/A,194.18,194.18,194.18,194.18
08/12/2021,194.37,N/A,194.37,194.37,194.37,194.37
08/11/2021,193.35,N/A,193.35,193.35,193.35,193.35
08/10/2021,194.93,N/A,194.93,194.93,194.93,194.93
08/09/2021,196.27,N/A,196.27,196.27,196.27,196.27
