Date,VTI,VXUS,VMLUX,VWIUX,VWLUX
1/2/2002,53.13,,10.86,13.28,10.99
1/3/2002,53.7,,10.87,13.29,11
1/4/2002,54.05,,10.88,13.3,11.01
1/7/2002,53.7,,10.88,13.31,11.02
1/8/2002,53.55,,10.90,13.35,11.06
1/9/2002,53.37,,10.91,13.37,11.08
1/10/2002,53.33,,10.92,13.4,11.12
1/11/2002,52.88,,10.94,13.42,11.15
1/14/2002,52.47,,10.95,13.45,11.19
1/15/2002,52.83,,10.95,13.47,11.2
1/16/2002,51.95,,10.98,13.51,11.23
1/17/2002,52.49,,10.97,13.49,11.21
1/18/2002,52.01,,10.96,13.48,11.19
1/22/2002,51.6,,10.96,13.47,11.18
1/23/2002,52.05,,10.96,13.47,11.17
1/24/2002,52.28,,10.95,13.44,11.14
1/25/2002,52.36,,10.94,13.43,11.12
1/28/2002,52.32,,10.93,13.42,11.12
1/29/2002,51.02,,10.92,13.41,11.12
1/30/2002,51.5,,10.92,13.41,11.13
1/31/2002,52.24,,10.92,13.42,11.13
2/1/2002,51.93,,10.92,13.41,11.13
2/4/2002,50.68,,10.91,13.4,11.14
2/5/2002,50.5,,10.92,13.42,11.15
2/6/2002,50.16,,10.93,13.43,11.17
2/7/2002,49.95,,10.93,13.43,11.16
2/8/2002,50.67,,10.93,13.43,11.16
2/11/2002,51.37,,10.93,13.43,11.16
2/12/2002,51.24,,10.93,13.43,11.16
2/13/2002,51.72,,10.93,13.42,11.14
2/14/2002,51.65,,10.93,13.42,11.15
2/15/2002,51.09,,10.93,13.44,11.17
2/19/2002,50.14,,10.93,13.44,11.17
2/20/2002,50.76,,10.93,13.44,11.17
2/21/2002,49.95,,10.94,13.46,11.19
2/22/2002,50.32,,10.96,13.49,11.22
2/25/2002,51.21,,10.96,13.49,11.22
2/26/2002,51.38,,10.96,13.5,11.22
2/27/2002,51.2,,10.96,13.5,11.23
2/28/2002,51.32,,10.97,13.51,11.24
3/1/2002,52.35,,10.96,13.49,11.21
3/4/2002,53.33,,10.95,13.46,11.18
3/5/2002,53.03,,10.94,13.46,11.18
3/6/2002,53.8,,10.95,13.46,11.18
3/7/2002,53.57,,10.93,13.42,11.13
3/8/2002,53.97,,10.90,13.37,11.07
3/11/2002,54.15,,10.89,13.36,11.07
3/12/2002,54.04,,10.88,13.34,11.05
3/13/2002,53.54,,10.87,13.34,11.05
3/14/2002,53.49,,10.85,13.31,11.02
3/15/2002,53.96,,10.85,13.31,11.02
3/18/2002,54,,10.85,13.3,11.02
3/19/2002,54.25,,10.84,13.3,11.02
3/20/2002,53.38,,10.83,13.27,10.99
3/21/2002,53.61,,10.81,13.25,10.97
3/22/2002,53.4,,10.80,13.24,10.97
3/25/2002,52.45,,10.78,13.22,10.95
3/26/2002,52.82,,10.78,13.22,10.96
3/27/2002,53.13,,10.78,13.24,10.97
3/28/2002,53.06,,10.78,13.24,10.97
4/1/2002,53.09,,10.78,13.24,10.97
4/2/2002,52.75,,10.78,13.23,10.97
4/3/2002,52.17,,10.79,13.24,10.98
4/4/2002,52.33,,10.80,13.26,10.99
4/5/2002,52.25,,10.82,13.3,11.03
4/8/2002,52.38,,10.82,13.32,11.05
4/9/2002,52.1,,10.84,13.34,11.05
4/10/2002,52.72,,10.84,13.34,11.06
4/11/2002,51.53,,10.85,13.37,11.09
4/12/2002,51.93,,10.86,13.38,11.1
4/15/2002,51.62,,10.87,13.39,11.1
