Date,VTSAX,VWUAX,VWNAX,VEXRX,VSEQX,VWILX,VTRIX,VTIAX,VUSFX,VMLUX,VWIUX,VWLUX
1/2/2002,25.85,49.13,45.48,55.61,15.19,48,22.12,,,10.86,13.28,10.99
1/3/2002,26.11,49.81,45.45,56.35,15.26,48.71,22.52,,,10.87,13.29,11
1/4/2002,26.29,50.02,45.8,56.93,15.38,48.84,22.66,,,10.88,13.3,11.01
1/7/2002,26.11,49.71,45.72,56.38,15.29,48.56,22.57,,,10.88,13.31,11.02
1/8/2002,26.05,49.33,45.47,56.8,15.31,47.93,22.26,,,10.9,13.35,11.06
1/9/2002,25.93,49.03,45.27,56.56,15.29,47.75,22.22,,,10.91,13.37,11.08
1/10/2002,25.96,49.06,45.32,56.65,15.33,47.22,22.04,,,10.92,13.4,11.12
1/11/2002,25.73,48.27,44.89,55.96,15.23,47.24,22.03,,,10.94,13.42,11.15
1/14/2002,25.52,47.89,44.66,54.97,15.1,46.84,21.78,,,10.95,13.45,11.19
1/15/2002,25.7,48.11,44.99,55.14,15.17,46.74,21.74,,,10.95,13.47,11.2
1/16/2002,25.29,47.19,44.39,54.17,14.94,46.04,21.48,,,10.98,13.51,11.23
1/17/2002,25.55,47.82,44.66,54.69,15.05,46.34,21.65,,,10.97,13.49,11.21
1/18/2002,25.28,47.19,44.51,53.93,14.96,46.51,21.73,,,10.96,13.48,11.19
1/22/2002,25.08,46.69,44.22,53.35,14.83,46.18,21.58,,,10.96,13.47,11.18
1/23/2002,25.31,47.11,44.56,54.17,15,46.11,21.67,,,10.96,13.47,11.17
1/24/2002,25.42,47.21,44.63,54.5,15.02,46.58,21.79,,,10.95,13.44,11.14
1/25/2002,25.44,47.13,44.67,54.4,15.05,46.18,21.66,,,10.94,13.43,11.12
1/28/2002,25.46,47.02,44.62,54.55,15.07,46.34,21.79,,,10.93,13.42,11.12
1/29/2002,24.82,45.32,43.32,53.77,14.83,45.73,21.52,,,10.92,13.41,11.12
1/30/2002,25.08,45.74,43.73,54.28,15,45.12,21.27,,,10.92,13.41,11.13
1/31/2002,25.42,46.23,44.44,54.7,15.24,45.62,21.48,,,10.92,13.42,11.13
2/1/2002,25.24,45.8,44.24,54.5,15.2,45.68,21.49,,,10.92,13.41,11.13
2/4/2002,24.65,44.18,43.3,52.97,14.89,45.53,21.4,,,10.91,13.4,11.14
